system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
00000000000000000898_0,0.0666,0.01805,0.03245,0.0236,0.303,0.6396104,0.85548073,-0.8065285,0.507016696461703,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60957674960116,11.012581815313832]}"
00000000000000000899_0,0.0806,0.03095,0.0494,0.03325,0.3835,0.6526611,0.8404319,-0.7717718,0.5730842742090441,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.62143451135154,10.996501971728092]}"
0000000000000000089a_0,0.11675,0.03425,0.05615,0.04835,0.282,0.41442007,0.70728016,-0.6678989,0.4220810595349167,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.6188293970276,10.992908710591614]}"
0000000000000000089b_0,0.12005,0.0461,0.07645,0.0608,0.3897,0.5289848,0.7300777,-0.671994,0.5190426023494608,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.61829040785712,10.986889998188014]}"
0000000000000000089c_0,0.2221,0.0648,0.0978,0.1329,0.2037,-0.04321277,0.2103387,-0.3512438,0.12694239645011096,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.62817187598243,10.996501971728092]}"
0000000000000000089d_0,0.1405,0.0558,0.0671,0.06265,0.3525,0.4300203,0.6981814,-0.68017155,0.47508603664142074,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64793481223306,10.955987952414302]}"
0000000000000000089e_0,0.27395,0.1154,0.15085,0.15075,0.4047,0.1926619,0.4571969,-0.45693457,0.3609124254336623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.64506020332388,10.95401165878924]}"
0000000000000000089f_0,0.09095,0.01995,0.0359,0.038,0.295,0.5286954,0.7717718,-0.783016,0.4627851005969941,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60634281457834,10.935506363936376]}"
000000000000000008a0_0,0.08595,0.02575,0.0459,0.03935,0.3452,0.60129887,0.7953452,-0.76527745,0.5186535567332778,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.60050376523155,10.973055942812573]}"
000000000000000008a1_0,0.089,0.0265,0.0426,0.03485,0.3275,0.57262903,0.80764455,-0.76979196,0.5090450317642616,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.59646134645303,10.977906845346817]}"
000000000000000008a2_0,0.0833,0.037,0.06245,0.0439,0.3689,0.6315789,0.7873062,-0.710444,0.5340709874714872,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.57705773631604,10.975391562551284]}"
000000000000000008a3_0,0.06095,0.0241,0.03885,0.0242,0.3613,0.7113085,0.8744488,-0.80582285,0.5710333060139766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.5798425136968,10.969372850147682]}"
