system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
0000000000000000042c_0,0.19405,0.03575,0.0538,0.0303,0.33575,0.26745945,0.8344489,-0.72378385,0.5290399074077079,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.98794257299045,10.159182295400287]}"
0000000000000000042d_0,0.3005,0.3495,0.311,0.2505,0.4765,0.22651222,0.3108666,-0.21015875,0.2762836324187866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.28079335561343,10.305877181297005]}"
0000000000000000042e_0,0.21345,0.04095,0.06925,0.0583,0.3017,0.17130932,0.6761111,-0.6266343,0.424534879418915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.33361429431964,9.937657746336413]}"
0000000000000000042f_0,0.3665,0.4056,0.3908,0.3744,0.52265,0.17561717,0.16526394,-0.14434288,0.15917470488170385,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.21386429266467,9.767965989166235]}"
00000000000000000430_0,0.1866,0.05135,0.0814,0.08765,0.1601,-0.07643496,0.2924319,-0.3258799,0.14533600230351726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.3028066543562,10.388162861322352]}"
00000000000000000431_0,0.1802,0.0199,0.0411,0.0251,0.3544,0.3258511,0.86772066,-0.7921618,0.5616259328590618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-82.84977710801103,8.548592822502396]}"
00000000000000000432_0,0.1937,0.0257,0.0546,0.0341,0.3342,0.2661489,0.8148249,-0.7191358,0.5184268055639782,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.67173559298038,9.31359811845858]}"
00000000000000000433_0,0.1512,0.0258,0.0488,0.0254,0.3174,0.3546735,0.85180867,-0.73347896,0.5196962611458885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.73075490714703,9.780452571615497]}"
00000000000000000434_0,0.2693,0.1106,0.1246,0.1334,0.3466,0.12550735,0.4441667,-0.47113752,0.326326538636902,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.15162019203888,10.922480792316644]}"
00000000000000000435_0,0.169,0.0302,0.0599,0.0271,0.3772,0.38117906,0.8659411,-0.72592086,0.5807254293203413,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.0814571940673,9.567821343864406]}"
00000000000000000436_0,0.1022,0.0107,0.0201,0.0165,0.1548,0.20466925,0.8073555,-0.77015436,0.30902725688872246,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.4455398044391,9.415646734734558]}"
00000000000000000437_0,0.13665,0.027,0.0447,0.03165,0.2498,0.2927934,0.77509326,-0.6964346,0.41874079933856345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.39343751796015,8.58515425456606]}"
00000000000000000438_0,0.25775,0.09475,0.11895,0.1115,0.3627,0.1691514,0.52973425,-0.5060729,0.3867788742065509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.66230785677898,10.564502151595015]}"
00000000000000000439_0,0.35925,0.0771,0.111,0.1591,0.2566,-0.16668023,0.23454414,-0.39608267,0.15971387622119304,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.1232334290607,10.218830430265822]}"
0000000000000000043a_0,0.1771,0.0474,0.0695,0.0463,0.388,0.37320828,0.78678334,-0.69617486,0.5485925376571102,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.63921657969526,10.761323030345602]}"
0000000000000000043b_0,0.4408,0.3943,0.3989,0.3731,0.5287,0.09066527,0.17254378,-0.139931,0.16650019347698217,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.51309768808673,10.432449804829444]}"
0000000000000000043c_0,0.4037,0.37075,0.36815,0.33725,0.5081,0.11449877,0.20210563,-0.15971467,0.19048944481396604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.67353679783048,10.296624533870574]}"
0000000000000000043d_0,0.1633,0.0178,0.0435,0.0199,0.4228,0.44275722,0.9100971,-0.8134248,0.6410841247940157,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.47446555658773,9.609772667632788]}"
0000000000000000043e_0,0.1593,0.03325,0.05915,0.0306,0.3603,0.38683602,0.8434382,-0.717964,0.5551128116286962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.10489864870097,9.525780188567612]}"
0000000000000000043f_0,0.2366,0.0699,0.09955,0.09015,0.34595,0.18770923,0.58656275,-0.5530864,0.40989211693080085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.25743715822631,10.351331934673452]}"
00000000000000000440_0,0.08215,0.01775,0.0394,0.018,0.2721,0.53620327,0.87590486,-0.7470305,0.4824072941872355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-85.21162765301807,10.068991440874687]}"
