system:index,B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,.geo
00000000000000000000_0,0.1937,0.0358,0.066,0.0706,0.312,0.23393317,0.63094616,-0.6507937,0.4102651272109382,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.47680117632645,9.261675495036473]}"
00000000000000000001_0,0.1481,0.0373,0.0695,0.0819,0.2507,0.2572718,0.5075165,-0.56589633,0.3041076090777173,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.46700953972955,9.245775314507556]}"
00000000000000000002_0,0.193,0.04,0.066,0.0885,0.2254,0.07743785,0.43612614,-0.5470144,0.25230372290379965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.45784672383152,9.243709189354082]}"
00000000000000000003_0,0.1024,0.0336,0.0692,0.0612,0.3798,0.57527995,0.72244895,-0.69175947,0.5078639651605464,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.50860153738428,9.210651186898483]}"
00000000000000000004_0,0.064,0.0154,0.0359,0.0217,0.3692,0.70452446,0.88897413,-0.8227598,0.5850824909177859,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.3269621869353,9.143906361288403]}"
00000000000000000005_0,0.1099,0.0253,0.0495,0.0625,0.2776,0.4327742,0.632461,-0.69734025,0.3840614084646543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.09977825158148,9.018411716096907]}"
00000000000000000006_0,0.1095,0.0323,0.0614,0.0792,0.2983,0.46297204,0.58039737,-0.6586044,0.37452991293918014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.10121555603608,9.013111655920602]}"
00000000000000000007_0,0.093,0.0304,0.0545,0.0631,0.2685,0.48547718,0.619421,-0.6625387,0.3704906147278178,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.5125541246344,9.27577904499715]}"
00000000000000000008_0,0.0904,0.0264,0.0453,0.0422,0.2611,0.485633,0.72172767,-0.7043081,0.4087513947231005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.51237446157758,9.264819598530892]}"
00000000000000000009_0,0.0923,0.0319,0.0544,0.0609,0.2599,0.475866,0.6203242,-0.6538339,0.363669598013538,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.52872379974856,9.265448419229774]}"
0000000000000000000a_0,0.2206,0.0462,0.0809,0.1314,0.197,-0.056513403,0.19975637,-0.41777617,0.11878318348198727,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.46629088750225,9.26059751669553]}"
0000000000000000000b_0,0.1861,0.0392,0.0691,0.1098,0.1819,-0.011413075,0.24717173,-0.4494024,0.1366047580855198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.48901826419048,9.250895711627038]}"
