B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,pineapple,latitude,longitude
0.1449,0.043,0.06355,0.03595,0.2995,0.3478848,0.78566104,-0.64991045,0.4731880850156694,0,10.161338252082173,-83.96216092433623
0.366,0.0689,0.095,0.1199,0.2417,-0.20454173,0.33683625,-0.43569943,0.2120473380976118,0,9.728799442778623,-85.21189714760331
0.1793,0.0588,0.0863,0.0505,0.4188,0.4004347,0.78478587,-0.6582855,0.5699473774784475,0,10.017697638151462,-83.27494973198479
0.1575,0.0283,0.0449,0.024,0.3626,0.39434725,0.87584066,-0.7796319,0.5728626194156492,0,9.418162017530094,-84.09385394498814
0.24245,0.034,0.0568,0.0547,0.2608,0.036463,0.65324885,-0.64231735,0.3790925905483652,0,9.955264725905154,-84.71773390980916
0.1438,0.02365,0.0483,0.0219,0.3602,0.42936504,0.8853703,-0.76352507,0.5752748993253587,0,9.88232152483465,-83.72464636321503
0.1662,0.0381,0.053,0.0343,0.3431,0.3473395,0.81823,-0.7323908,0.5279234238608586,0,10.006289034043144,-83.30162969592314
0.1245,0.0184,0.0343,0.0165,0.2942,0.40530214,0.8937882,-0.791172,0.5138152254640387,0,9.487062799822061,-83.01309082666396
0.19155,0.0179,0.0372,0.02315,0.2835,0.19355854,0.8490135,-0.76800746,0.4841318840626093,0,10.218111778038526,-85.12970129910637
0.10715,0.047,0.0572,0.0386,0.21095,0.32631248,0.69064313,-0.57337314,0.3449069437099767,0,10.156038191905868,-83.97985773543338
0.0973,0.0114,0.0269,0.0154,0.2089,0.36446768,0.8626839,-0.7718405,0.4007317482301219,0,9.67939210215205,-83.84457145364497
0.4636,0.7025,0.6702,0.641,0.65835,0.17358169,0.013352845,0.008919498,0.0144635716020788,0,9.991646494911995,-83.92757578589762
0.3474,0.06865,0.09625,0.125,0.2315,-0.20020731,0.29873773,-0.4126621,0.1865148857989967,0,10.086688251971841,-84.76651242973685
0.2476,0.0391,0.0705,0.0469,0.4344,0.27390027,0.80511117,-0.72073674,0.5923264975641487,0,10.02497399195283,-83.34771326999847
0.1478,0.01955,0.0342,0.01725,0.2759,0.30233657,0.88231283,-0.779426,0.4891571672723694,0,9.746855579989425,-83.0743559290409
0.195,0.075,0.0724,0.0504,0.3632,0.3013257,0.75628626,-0.66758496,0.5135726889413009,0,9.942328985813834,-83.19023860069233
0.2887,0.0529,0.089,0.0523,0.3282,0.06402982,0.72509855,-0.57334614,0.4700170532406636,0,10.480150346416192,-83.65673372773558
0.13995,0.01785,0.0339,0.0177,0.25835,0.29726338,0.8717624,-0.76800686,0.4651440187097944,0,9.498381572401966,-82.86630610923882
0.1534,0.02355,0.04275,0.02595,0.281,0.29373845,0.83091706,-0.7359073,0.4740999921020797,0,10.429844690505497,-84.91985484873605
0.24495,0.0368,0.0599,0.06955,0.2529,0.01596868,0.5686153,-0.6170077,0.3343972337197884,0,10.337677542354836,-85.68063806285687
0.1111,0.0137,0.0291,0.0172,0.3198,0.4843351,0.8979228,-0.83319,0.5422938933269297,0,9.345398479516412,-83.43296339046141
0.1265,0.01945,0.03015,0.0163,0.25835,0.34260106,0.8813035,-0.79098785,0.4686955588375363,0,9.615252390865916,-83.11900219866165
0.1583,0.0373,0.0578,0.0273,0.322,0.34082866,0.84368736,-0.6956293,0.5204874562329928,0,9.958229166342749,-83.22221862480697
0.1565,0.0276,0.0485,0.0285,0.3168,0.33868584,0.8349261,-0.7344648,0.5115935150518309,0,9.663941079265195,-83.38418487053373
0.18545,0.02255,0.0479,0.02825,0.3168,0.26152313,0.8362556,-0.73731834,0.5121886270561264,0,10.083274653892186,-85.72411652260826
0.1476,0.021,0.0414,0.0185,0.3204,0.36923078,0.89082325,-0.7711443,0.539814041181772,0,8.57176935683268,-83.09825111559849
0.3439,0.0945,0.1502,0.2042,0.4175,0.096664034,0.34309152,-0.47084728,0.2852366833673389,0,10.291773631336328,-84.84268956583018
0.23085,0.03475,0.05515,0.0684,0.1796,-0.12486295,0.4483871,-0.53013843,0.2229946461104219,0,10.316477301649615,-85.38608048119409
0.0948,0.0198,0.0278,0.0169,0.1764,0.30088496,0.82514226,-0.72771794,0.3450887179248303,0,9.742274172040416,-83.28510069469534
0.14345,0.03575,0.0597,0.0349,0.26545,0.29836145,0.7676045,-0.63278484,0.4320922144029939,0,10.370286387168374,-83.97563565359802
0.2008,0.0249,0.0496,0.0277,0.3602,0.28413546,0.8571797,-0.7579307,0.5617186503474867,0,9.150284399805653,-83.45416363116664
0.3369,0.2222,0.2296,0.1888,0.4308,0.1223134,0.39057454,-0.30466384,0.3242229156222145,0,11.024349745535797,-85.22375490935369
0.1687,0.0239,0.0514,0.0268,0.3362,0.33174887,0.8523416,-0.7347781,0.537775203447255,0,9.796442583672823,-84.18700923995134
0.5185,0.848,0.8084,0.77,0.7736,0.19743055,0.0023322112,0.021997469,0.002642396799759,0,10.770306183186797,-85.09790093804854
0.1739,0.02,0.0412,0.02485,0.2313,0.14165846,0.80597305,-0.69761467,0.4095417531292599,0,10.052462439646888,-85.72303854426731
0.573,0.9,0.8704,0.8288,0.828,0.18201284,-0.0004828667,0.024964673,-0.000556389232031969,0,10.7943810328012,-85.27837247862814
0.1498,0.0192,0.0417,0.0201,0.357,0.40883976,0.893397,-0.7908202,0.5761600673965375,0,8.66842808140394,-83.00841958718652
0.14305,0.03295,0.0541,0.03695,0.3194,0.38133854,0.79261965,-0.7103079,0.4947451547801,0,10.534588252633835,-84.92021417484969
0.176,0.1178,0.1148,0.0985,0.3186,0.28831378,0.5276912,-0.47023535,0.3599934594772174,0,8.813505999789243,-83.19068775833438
0.1499,0.0211,0.0502,0.0243,0.3676,0.42067632,0.8759888,-0.7596936,0.5773629275007943,0,9.630254256110712,-83.50186417275339
0.2087,0.0601,0.0826,0.0827,0.2009,-0.019042963,0.41678423,-0.41728398,0.2262634068139077,0,8.853660692989386,-83.10400033341685
0.2082,0.021,0.0422,0.0317,0.331,0.22774482,0.8251999,-0.7738478,0.520401066299251,0,8.879352510115204,-82.8533703691475
0.1889,0.02765,0.05315,0.02665,0.3577,0.30881816,0.8613243,-0.7412681,0.5615140952353215,0,9.770481271961769,-82.9751819216741
0.2174,0.1734,0.178,0.17835,0.302,0.16288023,0.25741643,-0.2583333,0.1891926140824616,0,10.841093427575416,-84.3625400464683
0.29115,0.0679,0.10135,0.09295,0.3695,0.11859533,0.5980106,-0.569502,0.4310094128053868,0,10.749465268595223,-85.21926333293308
0.2288,0.0405,0.0568,0.0851,0.2094,-0.044272024,0.42207128,-0.5732532,0.2346758882566705,0,10.428676880636143,-85.60392193759306
0.2383,0.03985,0.06285,0.07185,0.2543,0.03248072,0.55940515,-0.6036576,0.3312655022399269,0,10.472514666501176,-85.06511243017817
0.0136,0.0364,0.04615,0.04045,0.03215,0.40546447,-0.114325054,0.17879947,-0.0217429242352592,0,8.930825975895253,-83.60777554475108
0.2241,0.0414,0.0597,0.0692,0.254,0.06253925,0.5717822,-0.6193816,0.33673470163534,0,10.854747819894031,-85.61937296047992
0.2617,0.0435,0.076,0.0772,0.258,-0.0071195266,0.5393794,-0.5449102,0.3247126180695583,0,8.812877179090359,-83.0165044247436
0.1831,0.0287,0.0505,0.0347,0.2916,0.2285654,0.78731227,-0.70476466,0.4663560340466021,0,10.774079107380098,-85.45668806252587
0.1162,0.0415,0.0515,0.0374,0.1722,0.19417474,0.64312977,-0.5395619,0.2849492579863195,0,10.41151905870946,-83.58873126072774
0.2274,0.13845,0.14545,0.127,0.3584,0.22362578,0.4767202,-0.42264563,0.3522427215599601,0,10.524437289923284,-84.23983017865757
0.1769,0.0233,0.0479,0.0305,0.3053,0.26627955,0.81834424,-0.72876555,0.4931801826135259,0,9.332103413311444,-83.5238728972143
