B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,pineapple,latitude,longitude,year
0.14475,0.02505,0.0434,0.02205,0.3027,0.35300034,0.8642032,-0.7492054,0.5104274159752713,0,10.428676880636145,-84.9788741629027,2018
0.1398,0.0425,0.0533,0.0467,0.202,0.1819778,0.6244471,-0.582452,0.3111393174567669,0,10.805520142324282,-85.36209546310809,2018
0.23175,0.03445,0.05945,0.03465,0.3906,0.25524223,0.837037,-0.7358071,0.5770602460873833,0,10.785308048431594,-84.99603198482939,2018
0.2384,0.048,0.0821,0.0735,0.3002,0.11474191,0.60663635,-0.57049435,0.3892068032628069,0,9.598274231996058,-84.31546832558043,2018
0.27255,0.1929,0.1975,0.1794,0.3243,0.086705215,0.28767124,-0.24300496,0.2165487633490993,0,9.017872726926434,-83.28599900997946,2018
0.2855,0.0746,0.1026,0.1288,0.2288,-0.11024693,0.27964205,-0.38080868,0.1749067052827292,0,9.33749330501616,-83.9807560507175,2018
0.1986,0.0352,0.06435,0.04585,0.2796,0.1693852,0.71823627,-0.6258177,0.4247682979540496,0,10.429575195920265,-84.99180990299402,2018
0.4067,0.2132,0.2382,0.2222,0.4551,0.05616154,0.34386533,-0.31285158,0.2967382898681749,0,9.36049017628962,-83.58334136902302,2018
0.24045,0.04065,0.06915,0.0603,0.2932,0.098847546,0.6588402,-0.6183248,0.4093145693578749,0,10.258895291937554,-85.39686026460352,2018
0.5568,0.702,0.6988,0.6876,0.7033,0.1162606,0.011287643,-0.0032094514,0.0124543729269268,0,9.746496253875778,-83.63966573733731,2018
0.1408,0.4108,0.3936,0.3824,0.4104,0.48911467,0.035317857,-0.020895543,0.0324876202103451,0,9.899659009818157,-83.2524020183534,2018
0.2381,0.03545,0.06945,0.05665,0.28865,0.095965825,0.67187953,-0.61211956,0.4116881623289437,0,8.95463133092442,-83.07974582074561,2018
0.1656,0.0288,0.0533,0.0332,0.282,0.26005363,0.7893401,-0.68207574,0.4578017743888442,0,11.023631093308502,-85.50106483756137,2018
0.3517,0.2946,0.294,0.2946,0.4046,0.06994577,0.15732263,-0.15831663,0.1375917079362476,0,10.8417222482743,-85.23857711154166,2018
0.1092,0.04305,0.05225,0.03105,0.3032,0.47041708,0.81421095,-0.70600647,0.4893317421376091,0,8.276493122942593,-83.00877891330018,2018
0.2378,0.0802,0.1076,0.105,0.269,0.06156273,0.43850267,-0.4285714,0.2814645289319644,0,9.108063581452036,-83.42703450958622,2018
0.18425,0.0268,0.05055,0.03255,0.3183,0.26673964,0.8144506,-0.7259048,0.503760956024587,0,10.937841983675089,-84.60822927667499,2018
0.1572,0.0819,0.093,0.0846,0.2272,0.182102,0.45734444,-0.41911304,0.2634885428096152,0,10.298421164438812,-83.69527145342431,2018
0.16945,0.0199,0.03955,0.0223,0.3275,0.31804,0.8724986,-0.78449804,0.538714977089563,0,9.874326518805988,-85.41446724417226,2018
0.13595,0.0188,0.03285,0.0175,0.2386,0.27406222,0.86333466,-0.75796646,0.4386324568708039,0,10.636726700438224,-85.30622025243585,2018
0.0647,0.0071,0.0159,0.0066,0.122,0.30690947,0.89735615,-0.7693981,0.275373849415114,0,9.67894294450999,-83.5215372774756,2018
0.2766,0.1013,0.1422,0.156,0.3012,0.042575285,0.3175853,-0.35859272,0.2275386518325494,0,11.120559312464998,-85.63814774991802,2018
0.0676,0.0104,0.0262,0.0172,0.1851,0.46497825,0.8299555,-0.75201136,0.3586074378011522,0,9.388068455512087,-83.31330779461669,2018
0.2182,0.038,0.07655,0.04855,0.3482,0.22951977,0.7552615,-0.63955265,0.5012266476483481,0,10.858251249502098,-84.58990364487894,2018
0.2273,0.031,0.06495,0.03595,0.3882,0.26141348,0.8304845,-0.71334,0.5717416123053711,0,9.62459486982076,-84.2108145949805,2018
0.28965,0.04625,0.0709,0.0798,0.23,-0.11478878,0.48482892,-0.5287471,0.2782168449603102,0,10.27892772277342,-85.44644726828692,2018
0.2322,0.1452,0.1676,0.1552,0.3344,0.18037416,0.36601305,-0.3322709,0.2716248885048022,0,10.53898999752602,-83.6312215736666,2018
0.1406,0.0393,0.0492,0.0328,0.2631,0.30344316,0.7783035,-0.68491834,0.434036936559963,0,9.789076398343044,-83.35157602572019,2018
0.2623,0.1198,0.1369,0.1214,0.3891,0.19465761,0.52438784,-0.4794677,0.3973775224068196,0,10.800130250619564,-85.0570275926211,2018
0.3538,0.3104,0.3122,0.285,0.5147,0.18526195,0.28723273,-0.24489054,0.2650996389761731,0,9.81611568839504,-83.32750117610578,2018
0.2238,0.0183,0.0436,0.032,0.407,0.29042485,0.85421413,-0.8064802,0.5990415351814092,0,9.71155178932353,-84.0634908883849,2018
0.1492,0.0216,0.0414,0.0193,0.3604,0.41444266,0.89834076,-0.7939273,0.5816187227934201,0,10.435504076795452,-83.52800514752126,2018
0.14955,0.02115,0.03505,0.01955,0.2682,0.28402156,0.86411816,-0.7688376,0.4734687547315384,0,10.887356664707571,-84.59834780854968,2018
0.06685,0.03165,0.04075,0.0396,0.04985,-0.14567268,0.11458914,-0.10044148,0.0260836333584001,0,10.130795532422107,-84.87224413867771,2018
0.1582,0.0673,0.0737,0.0495,0.299,0.30796152,0.7159254,-0.6045076,0.441072475213681,0,10.987878145000543,-85.48202055353805,2018
0.31655,0.0615,0.0902,0.1134,0.2642,-0.090142034,0.3993644,-0.49097067,0.2577484128081457,0,10.295636387058044,-85.34107488545969,2018
0.1147,0.0101,0.0313,0.0132,0.3171,0.46873552,0.9200727,-0.82032144,0.5490184140343779,0,9.600609851734768,-83.52791531599284,2018
0.2285,0.0313,0.0601,0.0505,0.3021,0.13871092,0.7135564,-0.66813916,0.442646023350282,0,9.86121111565784,-83.95335743455185,2018
0.2892,0.4502,0.4307,0.3857,0.51155,0.27767718,0.14026193,-0.08580526,0.1351046936551607,0,9.908282836545704,-83.30252801120726,2018
0.1817,0.029,0.0548,0.0329,0.3278,0.28675172,0.81757694,-0.71353894,0.5139421422818589,0,9.55192116333549,-84.48929233305756,2018
0.20545,0.02025,0.03955,0.0304,0.2075,0.0049642753,0.7444304,-0.6798219,0.3600081234451053,0,10.086328925858194,-85.4426743440936,2018
0.1786,0.0286,0.0605,0.0397,0.3644,0.34217313,0.803514,-0.7152271,0.5387125278072051,0,9.802820622190072,-83.79381664009223,2018
0.1769,0.0368,0.0631,0.0375,0.383,0.36810142,0.8216409,-0.7171038,0.5630092169389507,0,10.153073751468272,-83.52890346280537,2018
0.1716,0.0243,0.0462,0.02345,0.3627,0.35766423,0.8785446,-0.7740279,0.5742537788654485,0,10.366154136861423,-84.96629774892503,2018
0.35585,0.0673,0.09995,0.1387,0.2558,-0.16357394,0.29683146,-0.43808857,0.1963667104294917,0,10.49578103235987,-85.28591832701476,2018
0.2622,0.0526,0.0677,0.0858,0.1792,-0.18803808,0.3524528,-0.45159984,0.1831372449258405,0,10.815221947392772,-85.70102981980638,2018
0.19045,0.17825,0.16955,0.14405,0.3178,0.25056565,0.37620437,-0.30419615,0.2709621857370857,0,10.774258770436925,-84.96548926516932,2018
0.1449,0.0846,0.1036,0.1238,0.1416,-0.011518312,0.06706856,-0.1549755,0.0348837127806436,0,9.925260995415565,-84.08127753101047,2018
0.28565,0.0482,0.08265,0.07955,0.3308,0.07324192,0.6122822,-0.6001935,0.4139891254178046,0,10.224130490442128,-85.54849588456288,2018
0.3028,0.075,0.1026,0.0831,0.4084,0.14848144,0.66185147,-0.59843445,0.4921331336923393,0,10.877295533525432,-85.36011916948303,2018
0.2133,0.0302,0.0576,0.03,0.4112,0.3168935,0.86400723,-0.7542662,0.6075223010546971,0,10.961737170232666,-85.66177344189036,2018
0.1324,0.0212,0.0333,0.02035,0.2064,0.21841794,0.82050717,-0.7221527,0.384004139016617,0,10.190802993401292,-84.86496778487634,2018
0.15115,0.0134,0.03225,0.0161,0.2709,0.28373417,0.88780487,-0.78723407,0.4856416900251121,0,10.156756844133165,-85.25834004779229,2018
0.18185,0.03135,0.05865,0.0386,0.24885,0.15556072,0.73143154,-0.6185366,0.4005016195965,0,8.927322546287186,-83.20622861274964,2018
0.206,0.0453,0.0755,0.0516,0.289,0.16767678,0.6970053,-0.5857339,0.4236259832322229,0,11.030278626410986,-85.15350665413554,2018
0.1949,0.0242,0.0596,0.03,0.3818,0.3240853,0.85429823,-0.72995013,0.5787453362755283,0,9.968559792110124,-83.61568071925133,2018
0.21555,0.0264,0.05975,0.0337,0.42335,0.3252465,0.85253257,-0.75263923,0.6107047746676213,0,8.831202810886397,-83.01982819129485,2018
0.322,0.23125,0.24345,0.22825,0.4277,0.14098975,0.30406284,-0.2745288,0.258813116043351,0,8.88474240181992,-83.06402530327352,2018
0.12415,0.0439,0.0563,0.04095,0.2075,0.25131914,0.6703562,-0.5731615,0.3337898251179644,0,10.938201309788736,-84.72312380151386,2018
0.1726,0.0302,0.0514,0.024,0.3394,0.32578123,0.86791414,-0.73694986,0.547949957502825,0,10.950328566124348,-85.20237500559163,2018
0.1907,0.0334,0.0601,0.0389,0.2255,0.083613664,0.70574886,-0.57913166,0.3661695506224331,0,9.4783491415661,-83.9521896246825,2018
0.2458,0.12065,0.1385,0.12215,0.30805,0.112395056,0.4321246,-0.3796887,0.2997742575008271,0,9.035928864137237,-83.26947000875167,2018
0.2502,0.04485,0.0727,0.07105,0.2922,0.07743362,0.60880935,-0.60153466,0.3842745357824392,0,10.173465508417786,-84.8871561723941,2018
0.1736,0.0493,0.0729,0.0426,0.3962,0.3906634,0.8058341,-0.68919206,0.5649765705509231,0,8.5929695975379,-83.51201513546393,2018
0.15175,0.01985,0.04485,0.0191,0.3256,0.36419818,0.889179,-0.7578621,0.5442760742394128,0,8.671302690313123,-83.11990051394577,2018
0.48185,0.4612,0.4748,0.4588,0.5622,0.07695992,0.10127328,-0.0842816,0.1019724082222197,0,8.992989393556323,-83.38131026162455,2018
0.1792,0.0252,0.0493,0.0293,0.3956,0.3764788,0.86208516,-0.7783772,0.5940642132511659,0,9.982214184428742,-83.64155219943397,2018
0.1961,0.0472,0.09035,0.0742,0.2872,0.18849577,0.58937466,-0.5213879,0.3709078362921482,0,10.39912230778861,-85.52415154036325,2018
0.2043,0.0587,0.0908,0.0645,0.3992,0.32294944,0.7218029,-0.62938774,0.520960879364275,0,10.343157265587964,-83.66832199490072,2018
0.19215,0.0213,0.03965,0.0286,0.2691,0.16682929,0.80786026,-0.7431579,0.4522376973725509,0,10.648764125245426,-85.63383583655424,2018
0.0237,0.0116,0.0138,0.0076,0.0594,0.42960286,0.77313435,-0.6229508,0.1370370358933396,0,9.917445652443725,-83.19868276436304,2018
0.1672,0.0421,0.0812,0.0422,0.4104,0.42105263,0.81352186,-0.66965014,0.5797816552846782,0,10.842530732030006,-83.64280984083173,2018
0.4701,0.4628,0.484,0.5092,0.5372,0.06661371,0.026758408,-0.05209555,0.0271598532331936,0,9.244427841581375,-83.74162452208488,2018
0.133,0.0216,0.0402,0.0249,0.2994,0.38482887,0.84643847,-0.7632509,0.4995147406048918,0,10.156217854962692,-83.25653426866035,2018
0.1563,0.037,0.0559,0.0361,0.3015,0.31716907,0.78613746,-0.6871852,0.4752865235718724,0,9.849892343077936,-83.53321537616915,2018
