B11,B2,B3,B4,B8,NDMI,NDVI,NDWI,SAVI,pineapple,latitude,longitude
0.3015,0.0438,0.07915,0.06085,0.3104,0.0145448875,0.6721886,-0.5936337,0.4296413352957371,0,9.728799442778623,-85.21189714760331
0.0415,0.0062,0.0145,0.0087,0.1038,0.42876807,0.84533334,-0.7548605,0.2328979562731992,0,10.017697638151462,-83.27494973198479
0.0456,0.0126,0.019,0.0095,0.1473,0.5272162,0.87882656,-0.7714973,0.3147076833622662,0,9.418162017530094,-84.09385394498814
0.1271,0.02305,0.0453,0.0201,0.3301,0.44400698,0.8852084,-0.75865746,0.5469301354644506,0,9.88232152483465,-83.72464636321503
0.451,0.2554,0.3,0.3024,0.4976,0.04912501,0.244,-0.2477432,0.2252307679822459,0,10.006289034043144,-83.30162969592314
0.169,0.01625,0.0346,0.01825,0.2972,0.27498928,0.8842923,-0.7914406,0.5131215831014234,0,10.218111778038526,-85.12970129910637
0.084,0.011,0.0226,0.0147,0.1728,0.3457944,0.8432,-0.7686796,0.3449454616081615,0,9.67939210215205,-83.84457145364497
0.3332,0.0575,0.0791,0.094,0.2306,-0.18197943,0.42082563,-0.4891831,0.2484841194659674,0,10.086688251971841,-84.76651242973685
0.293,0.0519,0.0927,0.0787,0.4256,0.18452543,0.6878842,-0.64229214,0.5181220704234107,0,10.02497399195283,-83.34771326999847
0.1565,0.0214,0.036,0.0209,0.3012,0.31614596,0.8702266,-0.78647685,0.5114341353020991,0,9.942328985813834,-83.19023860069233
0.0629,0.0205,0.0324,0.0186,0.1434,0.39020842,0.77037036,-0.63139933,0.2827794533346375,0,10.480150346416192,-83.65673372773558
0.1417,0.0233,0.03965,0.0211,0.2872,0.33923993,0.8631203,-0.7573811,0.4938141838295947,0,10.429844690505497,-84.91985484873605
0.1795,0.0211,0.04265,0.02325,0.2786,0.21632832,0.84594995,-0.7344747,0.4776766307515033,0,10.337677542354836,-85.68063806285687
0.5053,0.4588,0.4644,0.4568,0.612,0.09549808,0.14520955,-0.13712375,0.1483936523560998,0,9.345398479516412,-83.43296339046141
0.1537,0.024,0.0446,0.0225,0.3176,0.34776154,0.867686,-0.75372726,0.5269015708787574,0,9.958229166342749,-83.22221862480697
0.1368,0.0213,0.0431,0.0271,0.2963,0.3682752,0.8324057,-0.7460224,0.4904056265221452,0,9.663941079265195,-83.38418487053373
